                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.37148,                0.57039,                0.38763,                0.90398,                0.77418,                0.86332,                0.85362,                0.73294,                0.77537,                0.86464,                0.85446,                0.71652,                0.66476,                 1.1273,                0.78236,                 1.2096,             0.00041005,             0.00041005,             0.00041005
                     45,                0.37261,                0.57113,                0.39411,                0.90882,                0.81119,                0.81429,                0.85237,                0.72636,                0.80499,                0.82174,                0.85218,                0.70728,                0.69887,                 1.1783,                0.71606,                 1.2571,             0.00040298,             0.00040298,             0.00040298
                     46,                0.36662,                 0.5722,                0.37904,                0.90435,                0.83243,                0.81641,                 0.8696,                 0.7509,                0.83354,                0.81632,                 0.8696,                0.73453,                  0.652,                  1.139,                0.74372,                 1.2013,             0.00039591,             0.00039591,             0.00039591
                     47,                0.35091,                0.52693,                0.36052,                 0.8901,                0.80431,                0.87939,                 0.8791,                0.74654,                  0.807,                0.88204,                0.88005,                0.74072,                0.67227,                 1.1563,                0.70063,                 1.2304,             0.00038884,             0.00038884,             0.00038884
                     48,                0.35829,                 0.5432,                 0.3698,                0.89336,                0.80527,                0.85228,                0.87346,                 0.7445,                0.80337,                0.85421,                 0.8742,                0.73501,                0.66951,                 1.0511,                0.68925,                 1.2372,             0.00038178,             0.00038178,             0.00038178
                     49,                0.35328,                0.52431,                0.36183,                0.89386,                0.81378,                0.86297,                0.87051,                0.75923,                 0.8144,                0.86363,                0.87164,                0.74528,                0.62074,                 1.0204,                0.73969,                 1.1528,             0.00037471,             0.00037471,             0.00037471
                     50,                0.34825,                0.52643,                0.35577,                0.88838,                0.78284,                0.88152,                0.89356,                0.75237,                0.78402,                0.88045,                0.89207,                0.74344,                0.67669,                 1.1235,                  0.701,                 1.2517,             0.00036764,             0.00036764,             0.00036764
                     51,                 0.3491,                0.53212,                0.36177,                0.88955,                0.80307,                0.84095,                0.87239,                0.74854,                0.80244,                0.84228,                  0.872,                0.73361,                0.66019,                 1.0381,                0.73928,                 1.2208,             0.00036057,             0.00036057,             0.00036057
                     52,                0.35012,                0.52576,                0.36553,                  0.891,                 0.7926,                0.85818,                0.86364,                 0.7389,                0.79566,                 0.8615,                0.86406,                 0.7328,                 0.6497,                 1.0382,                0.77545,                 1.1766,              0.0003535,              0.0003535,              0.0003535
                     53,                0.34051,                0.51566,                0.35069,                 0.8883,                0.79954,                0.84957,                0.88363,                0.75999,                0.80142,                0.85156,                0.88489,                0.74454,                0.65754,                 1.0753,                0.76698,                 1.2021,             0.00034643,             0.00034643,             0.00034643
                     54,                0.33888,                0.50467,                0.33778,                0.88784,                0.79828,                0.87343,                0.88821,                0.75632,                0.79888,                0.87409,                0.88729,                0.74448,                 0.6654,                 1.1015,                0.73091,                 1.2346,             0.00033936,             0.00033936,             0.00033936
                     55,                0.33034,                0.50448,                0.34297,                0.88259,                0.82072,                0.83732,                0.87789,                0.76276,                0.81935,                0.83698,                0.87856,                0.75535,                0.63297,                 1.0372,                0.79795,                 1.1816,              0.0003323,              0.0003323,              0.0003323
                     56,                0.33227,                0.51562,                0.33536,                0.88462,                0.83791,                0.84271,                0.87711,                0.75764,                0.82818,                0.85156,                0.87651,                0.74865,                0.64541,                  1.101,                0.75757,                 1.1868,             0.00032523,             0.00032523,             0.00032523
                     57,                0.33019,                0.49011,                0.33475,                0.87982,                0.82659,                0.84973,                0.87118,                 0.7479,                0.81817,                0.86473,                0.87206,                0.74509,                 0.6351,                 1.0246,                 0.7485,                 1.1721,             0.00031816,             0.00031816,             0.00031816
                     58,                0.32114,                0.50197,                0.33177,                 0.8754,                0.83857,                0.86407,                0.89392,                0.76923,                0.83793,                0.86341,                0.89351,                0.75868,                0.62769,                 1.0715,                0.73709,                  1.192,             0.00031109,             0.00031109,             0.00031109
                     59,                 0.3229,                0.48314,                 0.3181,                 0.8767,                0.80878,                0.82903,                0.87581,                0.76241,                0.80813,                0.82836,                0.87479,                0.74908,                0.63262,                 1.0578,                0.78218,                 1.1711,             0.00030402,             0.00030402,             0.00030402
                     60,                0.32164,                0.49037,                0.30915,                 0.8731,                0.82445,                0.82472,                0.90123,                0.78166,                0.84217,                0.80623,                0.89988,                0.76521,                0.62531,                 1.0356,                0.67957,                 1.1678,             0.00029695,             0.00029695,             0.00029695
                     61,                0.31831,                0.48702,                0.31943,                0.87278,                0.79488,                0.86802,                0.89129,                0.76553,                0.79616,                0.86547,                0.89148,                0.75717,                0.65104,                 1.1062,                0.69363,                 1.2311,             0.00028988,             0.00028988,             0.00028988
                     62,                0.31879,                0.48834,                0.31321,                0.87812,                  0.811,                0.86614,                0.89388,                0.78135,                0.80976,                0.86481,                0.89336,                0.77426,                 0.6073,                  1.007,                0.76287,                 1.1534,             0.00028282,             0.00028282,             0.00028282
                     63,                0.31041,                0.49065,                0.30578,                0.86981,                0.81063,                0.84361,                0.87958,                0.76166,                0.81078,                0.84053,                0.87624,                0.74933,                 0.6518,                 1.0673,                0.80713,                 1.2152,             0.00027575,             0.00027575,             0.00027575
                     64,                0.31237,                0.47731,                0.30409,                0.87174,                0.80007,                0.86188,                0.89329,                0.77495,                0.80007,                0.86188,                0.89284,                0.76819,                0.62898,                 1.0016,                0.74372,                  1.186,             0.00026868,             0.00026868,             0.00026868
                     65,                0.30718,                0.47729,                0.29779,                0.86911,                0.82995,                0.86216,                0.89509,                0.77047,                0.82676,                0.85885,                0.89083,                0.75668,                0.65926,                 1.0451,                0.70399,                  1.225,             0.00026161,             0.00026161,             0.00026161
                     66,                 0.3068,                0.48227,                0.29617,                 0.8681,                0.83793,                0.86339,                0.91001,                0.78911,                0.83784,                0.86284,                 0.9096,                 0.7818,                0.61969,                0.98738,                0.68836,                  1.195,             0.00025454,             0.00025454,             0.00025454
                     67,                0.30161,                0.45445,                0.29389,                0.86719,                0.82388,                0.83389,                0.88178,                0.75912,                0.82345,                0.83143,                0.88129,                0.75136,                0.66606,                 1.1437,                0.74738,                 1.2532,             0.00024747,             0.00024747,             0.00024747
                     68,                 0.3029,                0.46073,                0.29075,                0.86378,                0.77533,                0.87362,                 0.8921,                0.77196,                0.77524,                0.87409,                0.89106,                0.75757,                0.62966,                 1.0498,                 0.6762,                 1.2004,              0.0002404,              0.0002404,              0.0002404
                     69,                0.29424,                0.44587,                0.29069,                0.86171,                0.80365,                 0.8562,                0.90568,                0.79534,                0.80318,                0.85725,                0.90514,                0.78273,                  0.608,                 1.0362,                0.69387,                 1.1936,             0.00023334,             0.00023334,             0.00023334
                     70,                  0.293,                0.44698,                 0.2788,                0.86115,                0.80651,                 0.8562,                0.89348,                0.78408,                0.80713,                0.85686,                0.89335,                0.77376,                0.60453,                 1.0158,                0.72731,                 1.1784,             0.00022627,             0.00022627,             0.00022627
                     71,                0.28983,                0.43818,                0.27924,                0.86346,                0.80487,                0.84559,                0.88604,                0.77309,                0.80613,                0.84758,                0.88756,                0.76292,                0.64128,                 1.0498,                 0.8167,                 1.2194,              0.0002192,              0.0002192,              0.0002192
                     72,                 0.2938,                0.43397,                0.27922,                0.86615,                0.82398,                 0.8668,                0.89945,                0.78784,                0.82461,                0.86746,                0.89872,                0.77517,                0.60436,                 1.0431,                0.69213,                 1.1798,             0.00021213,             0.00021213,             0.00021213
                     73,                0.28861,                0.44363,                0.27251,                0.85739,                0.82189,                0.84095,                 0.9007,                0.78464,                0.81995,                0.83897,                0.89857,                0.77307,                0.62444,                  1.166,                0.74089,                 1.2005,             0.00020506,             0.00020506,             0.00020506
                     74,                0.28659,                0.43838,                0.26761,                0.85667,                0.82148,                0.84776,                0.89382,                0.78601,                0.82148,                0.84776,                0.89331,                0.77649,                0.61456,                 1.0295,                0.77423,                 1.1759,             0.00019799,             0.00019799,             0.00019799
                     75,                0.28144,                0.43299,                0.26367,                0.85669,                0.83352,                0.85951,                 0.8915,                0.77946,                0.83287,                0.85885,                0.89145,                0.76798,                0.62637,                 1.0356,                0.76702,                 1.1891,             0.00019092,             0.00019092,             0.00019092
                     76,                0.27828,                0.42467,                0.25759,                 0.8549,                0.81528,                0.86575,                0.87617,                0.76752,                0.81465,                0.86509,                 0.8773,                0.75896,                0.61304,                 1.0407,                0.72824,                 1.1642,             0.00018385,             0.00018385,             0.00018385
                     77,                0.28262,                0.43348,                0.27366,                0.85678,                0.81603,                0.84953,                0.90029,                0.78214,                0.81636,                0.85137,                0.90059,                0.77746,                0.61827,                 1.0107,                0.72132,                 1.1757,             0.00017679,             0.00017679,             0.00017679
                     78,                0.27776,                0.41564,                0.24887,                0.85498,                0.80668,                0.86614,                 0.8929,                0.78398,                0.80668,                0.86614,                0.89332,                0.77599,                0.61864,                 1.0347,                0.76772,                 1.1888,             0.00016972,             0.00016972,             0.00016972
                     79,                0.27666,                0.42082,                0.25046,                0.85293,                0.79696,                 0.8532,                0.88796,                0.78238,                0.79696,                 0.8532,                0.88679,                0.77546,                0.59469,                0.97786,                0.79061,                 1.1508,             0.00016265,             0.00016265,             0.00016265
